Country	Rank	Song	Artists	Album	Cover	Link
United Kingdom	6	Good Luck, Babe!	Chappell Roan	Good Luck, Babe!	https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7	https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu
United Kingdom	7	Houdini	Eminem	Houdini	https://i.scdn.co/image/ab67616d0000b273810603c94c9246379604cf1a	https://open.spotify.com/track/2HYFX63wP3otVIvopRS99Z
United Kingdom	8	Beautiful Things	Benson Boone	Fireworks & Rollerblades	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii
United Kingdom	9	Stargazing	Myles Smith	Stargazing	https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a	https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10
United Kingdom	10	I Had Some Help (Feat. Morgan Wallen)	Post Malone, Morgan Wallen	I Had Some Help	https://i.scdn.co/image/ab67616d0000b27397306976e3eb8aad53b754eb	https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP
Greece	1	MA BELLA	RACK, TOQUEL, Beyond	EGO THERAPY	https://i.scdn.co/image/ab67616d0000b27359ea7fcaffe26630473d9a13	https://open.spotify.com/track/6D5QFkJLHYuv5f7hvslZxz
Greece	2	OMERTA	RACK, Light, Beyond	EGO THERAPY	https://i.scdn.co/image/ab67616d0000b27359ea7fcaffe26630473d9a13	https://open.spotify.com/track/3SX7Wbl2uotkaeKUJkrP85
Greece	3	Vradia	Roi 6/12, Evangelia	Vradia	https://i.scdn.co/image/ab67616d0000b2737b22512bd6589bb93a6ff602	https://open.spotify.com/track/7m2z3y1R6K7ZXBMYeEK9zn
Greece	4	EMRATA	Sin Laurent, Oge, RACK	MEMBERS' CLUB	https://i.scdn.co/image/ab67616d0000b2733e26b4150e429d861233ed92	https://open.spotify.com/track/32mjlY9k5lq3UISyFUGWyb
Greece	5	Carvajal	TOQUEL, Ioannis	Carvajal	https://i.scdn.co/image/ab67616d0000b273fc00e41021eb6d053c7f6613	https://open.spotify.com/track/04g3PRNUhYa6wAoHx3IE17
Greece	6	Monaxiki Kardia	Melisses	Monaxiki Kardia	https://i.scdn.co/image/ab67616d0000b273d11cabd8d4acdba34a54282f	https://open.spotify.com/track/46aH7ZYbc2P5qQno3G49OH
Greece	7	MYKONOS	Strat	MYKONOS	https://i.scdn.co/image/ab67616d0000b27376d20737675f45fadef25cdc	https://open.spotify.com/track/4pFoAd8J9FpN7TADclqL3d
Greece	8	Bonnie	SNIK	TOPBOY 2	https://i.scdn.co/image/ab67616d0000b2736028e4ff2a801c3f13f3358a	https://open.spotify.com/track/4Mt52gHMDFcLKplLU4NKaW
Greece	9	Move	Adam Port, Stryv, Keinemusik, Orso, Malachiii	Move	https://i.scdn.co/image/ab67616d0000b27317a013a00d0a33f3dd49974d	https://open.spotify.com/track/1BJJbSX6muJVF2AK7uH1x4
Greece	10	F16	RACK, Dani Gambino, Beyond	EGO THERAPY	https://i.scdn.co/image/ab67616d0000b27359ea7fcaffe26630473d9a13	https://open.spotify.com/track/4g7r6dnXdMG2NriZNXCvJS
France	1	Imagine	Carbonne	Imagine	https://i.scdn.co/image/ab67616d0000b273c30a309dcc36ab8d5258c75b	https://open.spotify.com/track/6IcsbETuviVu6UTiBTcxY4
France	2	SPIDER	GIMS, DYSTINCT	SPIDER	https://i.scdn.co/image/ab67616d0000b27359dc8da873a4aa6c2d6888ff	https://open.spotify.com/track/2fFTn0f94EopgZyfSGQuyK
France	3	Gata Only	FloyyMenor, Cris Mj	Gata Only	https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a	https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
France	4	Petit génie	Jungeli, Imen Es, Alonzo, Abou Debeing, Lossa	Petit génie	https://i.scdn.co/image/ab67616d0000b2737b6ae17633cbb6f9c1b5d4ac	https://open.spotify.com/track/1eldTykrnkEBLX41bk5eMw
France	5	Mélanine	Heuss L'enfoiré, Werenoi	LVDR	https://i.scdn.co/image/ab67616d0000b27326914a6e0c0bf91815d0fc24	https://open.spotify.com/track/0t7d6wbJLS2A31yqlHFew7
France	6	Wayeh	THEODORT	Imad	https://i.scdn.co/image/ab67616d0000b273d726484fcdb087409ded0765	https://open.spotify.com/track/7EMzOyDT87Uq9Hi08Mxe31
France	7	Aucune attache	KeBlack	Aucune attache	https://i.scdn.co/image/ab67616d0000b2734554f6ef4b73557ab553bc21	https://open.spotify.com/track/3KZN01EuBoqh04jyGXpnxr
France	8	Hakayet	VEN1	Hakayet	https://i.scdn.co/image/ab67616d0000b27313295a84f4cf446fab5553a9	https://open.spotify.com/track/3PyRt7gpih7EPvV0fMWEom
France	9	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
France	10	Boucan (feat. Franglish)	KeBlack, Franglish	Boucan (feat. Franglish)	https://i.scdn.co/image/ab67616d0000b27378ed0170fe04ce8369809eb3	https://open.spotify.com/track/6jElwivDtkQUv9QFGrdN26
Finland	1	Luotathan	Mirella, Lauri Haav	Luotathan	https://i.scdn.co/image/ab67616d0000b2732f05d479318368e4e9571b93	https://open.spotify.com/track/0hua7obC2aRxJdPkSoFKEu
Finland	2	Juhannusyö	Portion Boys, Kake Randelin	Juhannusyö / Mökkielämää	https://i.scdn.co/image/ab67616d0000b27377761ed4e440155ea4b5fc6c	https://open.spotify.com/track/2lwbCSDiToiRgz0W79aW3D
Finland	3	Häitä pidelly	Robin Packalen, Tupe.	Häitä pidelly	https://i.scdn.co/image/ab67616d0000b2735eb45e0981f0984697b8ee73	https://open.spotify.com/track/6Y7TST1IwwlQqGGpmQjfEO
Finland	4	Vaisto (feat. Juuna Chill)	Costi, Juuna Chill	Vaisto (feat. Juuna Chill)	https://i.scdn.co/image/ab67616d0000b273e31649c1f13b34d4de18088a	https://open.spotify.com/track/31lZDgdGLl7bzGcVqtuWdr
Finland	5	Stadi (Alicia)	OLGA, Isac Elliot	Stadi (Alicia)	https://i.scdn.co/image/ab67616d0000b27373a78c5d24b7e635e8d4f370	https://open.spotify.com/track/7gHubaWZNQNvLieogqkVmA
Finland	6	En sitä tarkoittanut	Edicti, F	En sitä tarkoittanut	https://i.scdn.co/image/ab67616d0000b273f6052e1bf3570c0de2a66167	https://open.spotify.com/track/00PdQeNpWlEzqrMN3eauPl
Finland	7	Timanttei	Mirella	Timanttei	https://i.scdn.co/image/ab67616d0000b2736f125321e2664adfd41613ac	https://open.spotify.com/track/3BZB8nRPdxDmG2X5Mzlq7X
Finland	8	Juostaan (feat. Sexmane)	Sara Siipola, Sexmane	Juostaan (feat. Sexmane)	https://i.scdn.co/image/ab67616d0000b2737ca9705a2c48068879313880	https://open.spotify.com/track/5Yn8jOYR59KhHQdhwiQdXO
Finland	9	Rallikansa	JVG	Rallikansa	https://i.scdn.co/image/ab67616d0000b273e2ed6cbdcdae2182165153bc	https://open.spotify.com/track/1tE3e0tfkZ4q8wC9fMcAoP
Finland	10	Ihanuuteni blondiina	Niilo, Antti	Ihanuuteni blondiina	https://i.scdn.co/image/ab67616d0000b273fe88d3cbec708547139de141	https://open.spotify.com/track/0YWhcwLqzS4QkrmH8dogWS
Estonia	1	push it	nublu, maria kallastu	push it	https://i.scdn.co/image/ab67616d0000b273749c54a79a1e1c92edd8b7f0	https://open.spotify.com/track/7AleqJvqrVBeQitkWntUUc
Estonia	2	Pedro	Jaxomy, Agatino Romero, Raffaella Carrà	Pedro	https://i.scdn.co/image/ab67616d0000b27384464d902b1ebaf62775a6da	https://open.spotify.com/track/48lxT5qJF0yYyf2z4wB4xW
Estonia	3	(nendest) narkootikumidest ei tea me (küll) midagi	5MIINUST, Puuluup	kannatused ehk külakiigel pole stopperit	https://i.scdn.co/image/ab67616d0000b2739a6f2083aa6f3d75010a703c	https://open.spotify.com/track/43IB8nJZTAmlJi9eBAmTrJ
Estonia	4	Aluspükse	5MIINUST, nublu	Aluspükse	https://i.scdn.co/image/ab67616d0000b273b9e14b4b72131efc62936cc3	https://open.spotify.com/track/2xtLPeeUmIzM1hFw2qeH4U
Estonia	5	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Estonia	6	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Estonia	7	Suvepalavik	Küberünnak & Karmo	Suvepalavik	https://i.scdn.co/image/ab67616d0000b2730d5fdfc44d44f996991ee8ed	https://open.spotify.com/track/1fySIg6QY2qyDgvChQv6la
Estonia	8	kuruta	villemdrillem	kuruta	https://i.scdn.co/image/ab67616d0000b27398600fc0eaa96cd87a01d1e3	https://open.spotify.com/track/6XPANimHsxSvrJUmcTHDeW
Estonia	9	Mojito	Smilers	XX - 20 AASTAT METEORIITIDE SAJUS	https://i.scdn.co/image/ab67616d0000b273216fb20b9ad40f40b0b15c3d	https://open.spotify.com/track/5c7Mswm6Ueq0nKlgH3rTwQ
Estonia	10	Lämmi	Küberünnak & Karmo	Lämmi	https://i.scdn.co/image/ab67616d0000b273faf41fb7774dafe3bd02e11f	https://open.spotify.com/track/03dUoht4jmfAZmpgCvOIkT
Denmark	1	Kongen Af Danmark	Malte Ebert, Herrelandsholdet	Kongen Af Danmark	https://i.scdn.co/image/ab67616d0000b273f3deac5a8053c6dd1a803043	https://open.spotify.com/track/5uIy18j51mPvUhDcrGuj1p
Denmark	2	Hva Du På (feat. Gilli)	Lamin, Gilli	De Her Timer	https://i.scdn.co/image/ab67616d0000b2733a2230aed193b897d05ba69a	https://open.spotify.com/track/2j59di23XCFfbdJPE5KuNw
Denmark	3	København (feat. Suspekt & Benjamin Hav)	Rune Rask, TOOMANYLEFTHANDS, Suspekt, Benjamin Hav	København (feat. Suspekt & Benjamin Hav)	https://i.scdn.co/image/ab67616d0000b2737bc65432b2655ae3e0660db3	https://open.spotify.com/track/5NjehIS8G8xWKsIJCiQov8
Denmark	4	Børn Af Natten (Hola Bonita)	Ankerstjerne, Daniel Schulz, Panamah	Børn Af Natten (Hola Bonita)	https://i.scdn.co/image/ab67616d0000b273aa97f1df4a9b49b0a6335c3d	https://open.spotify.com/track/3ZNTae1ZOrSaURxMZAVFq6
Denmark	5	Reposado	Benny Jamz, Gilli	KENNY	https://i.scdn.co/image/ab67616d0000b27378887eb1b34af1f18ac51b3c	https://open.spotify.com/track/3xJeUxbt51wpvGk3YzqxLi
Denmark	6	Dark Room (feat. ICEKIID)	Tobias Rahim, ICEKIID	Dark Room (feat. ICEKIID)	https://i.scdn.co/image/ab67616d0000b273706d790fed4277252ed78687	https://open.spotify.com/track/1eA6vc394WJF2l4lHLqJ2B
Denmark	7	Under Din Sne	The Minds Of 99	Infinity Action	https://i.scdn.co/image/ab67616d0000b27373c4eed6dbfd71796bf1ff28	https://open.spotify.com/track/3LlqJkcXMBIAE5X1uUiZUN
Denmark	8	Tillid	Benny Jamz, Gilli	KENNY	https://i.scdn.co/image/ab67616d0000b27378887eb1b34af1f18ac51b3c	https://open.spotify.com/track/1smr5XYzThQvsl3oCrmSAc
